P2_1_B,lemma
"639	""- no esperar tanto por atención",atención
"- mejor acceso, no tantas espera",mejor acceso tanto
"- pocos números de atención, hay que cambiarse de consultorio""",número atención consultorio
"640	importancia de incorporar educación civica en los colegios, para que exista mayor interés en participar en actividades como ciudadano.",importancia educación civico colegio mayor interés actividad ciudadano
"641	""hacer llegar seguridad a todos civiles, empresarios etc.",seguridad civil empresario
"propiciar un ambiente que facilite el poder trabajar y vivir sin miedo. """,ambiente poder miedo
"642	""mejorar el acceso a la atencion de salud pública.",acceso atención salud público
"darle relevancia a la importancia de la salud mental.""",importancia salud mental
"643	""pagos excesivos en isapres se forma en un negocio y muy lucrativo",pago excesivo negocio lucrativo
"el hospital vs clínica privada,no tiene los recursos económicos disponibles""",vs clínica privado recurso económico disponible
644	mejorar las pensiones que no sea un negocio que no se pierdan los fondos de años de trabajo,pensión negocio fondo año trabajo
645	los chilenos y estudiantes necesitan educacion civica provoca saber la real historia chilena y asumir derechos y deberes,chileno estudiante educación civico real historia chileno derecho deber
646	que se pongan de acuerdo las ong ya que en todas partes ponen cosas y dicen cosas distintas.,acuerdo parte cosa cosa distinto
"647	""falta de especialistas",falta especialista
"lista de espera, mucho tiempo",lista espera tiempo
acceso universal a la salud,acceso universal salud
"fortalecer atención en salud primaria """,atención salud primario
"648	""-mejorar el acceso a la educación",acceso educación
"-cambiar el sistema de ingreso a los colegios, liceso y universidades""",sistema ingreso colegio liceso
"649	""agilizar la atención de la lista de espera para enfermedades crónicas.",atención lista espera enfermedad crónico
"contratar más personal del área de salud.""",personal área salud
"650	""-eliminar el sistema afp, volver al sistema antiguo",sistema sistema antiguo
-que suba la pensión solidaria,pensión solidario
- subir la pension de discapacidad,pensión discapacidad
- mejorar los sueldos,sueldo
"- aminorar la edad de jubilación """,edad jubilación
"651	""- medicamentos con alto costo.",medicamento alto costo
- tiempos de espera (disminuir),tiempo espera
- descentralizar la salud,salud
"- capacitar a funcionarios para que tengan más empatía.""",funcionario empatía
"652	""- alto costo de los remedios",alto costo remedio
- accesi a más especialidades,especialidad
"- más y mejor acceso a la salud que se equipare con lo privado.""",mejor acceso salud privado
"653	""- mejorar atención de los profesionales de la salud.-",atención profesional salud
"- falta de especialistas médicos, falta de tecnología.-",falta especialista médico falta tecnología
- aumentar la dotación médica.-,dotación médico
"- falta garantizar la atención para que sea rápida y oportuna""",atención rápido oportuno
"654	participación ciudadana, el pueblo debe redactarla donde participan los entre sociales, los profesionales, dirigentes sociales, doctores, etc. que no sea realizada por solo ejecutivos en cuatro paredes.",participación ciudadano pueblo deber profesional dirigente social doctor pared
"655	""mejorar la calidad profesional de atención y su infractructura",calidad profesional atención infractructura
"inyectar mayores recursos para nuestra comuna y no esperar demasiado  para atención de especialidades""",mayor recurso comuna atención especialidad
"656	salud por enfermedades, larga espera para atención solicitó para los 13 años y le llego ahora a los 29 años",salud enfermedad largo espera atención año año
"657	""-Integrar otras enfermedades al Auge ej: mental",enfermedad auge mental
- Eliminar el 7% porciento a los abuelitos,porciento abuelito
- más derechos para todos.,derecho
"- Autoridades ganan mucho dinero/ es injusto, deberían trabajar lo mismo que la gente común (Igualdad).""",autoridades dinero injusto mismo gente común igualdad
- atención digna ( mucho mal trato en la atención pública),atención digno mal trato atención público
"- listas de espera extensas""",lista espera extenso
"659	""para mejorar la gestión de documentos",gestión documento
falta información para los campesinos,información campesino
"falta de asistencia de los servicios a los sectores rurales""",falta asistencia servicio sector rural
"660	""disponer de un sistema de pensiones y beneficios que aseguran una disponibilidad de recursos económicos sificiente para todos tengan una vejez digna.",sistema pensión beneficio disponibilidad recurso económico sificiente vejez digno
"debiera existir un sueldo mínimo que permita una vida digna. en casos justificados podría existir un subsidio a los empleadores para cubrir ese sueld""",sueldo mínimo vida digno
"661	la perdida de los recursos naturales ya sea por apropiacion por parte de privados, la sequia, las destrucción de la flora y fauna y acumulación de basura provocan sin duda un gran daño a nuestra sociedad y a la economía del páis, es un tema importante en el que todos debemos tomar conciencia y resgu",perdida recurso natural apropiación parte privado sequia destrucción flora fauna acumulación basura duda gran daño sociedad economía páis tema importante conciencia resgu
662	porque corresponde darle vida digna y hacer que vivan como tal con una cantidad de dinero que alcance en una cosa y más.,digno cantidad dinero uno cosa
"663	""se esta escaseando el trabajo por falta de llegada de turismo",trabajo falta llegada turismo
"- hay fuente laboral solo hay que buscar empleo.""",fuente laboral empleo
"664	""El grupo considera que la base para mejorar la desigualdad en chile y avanzar como país, es la educación.",grupo base desigualdad país educación
"Es urgente mejorar la educación pública en chile""",urgente educación público
"665	""- aumento en cobertura de patología ges.",aumento cobertura patología ges
- mucho tiempo de espera por horas medicas.,tiempo espera hora medico
- que hayan especialistas.,especialista
- mejorar los ospitales.,ospital
- muy caros los medicamentos y poca disponibilidad.,caro medicamento disponibilidad
"- acceso a la atención médica. """,acceso atención médico
"666	""-faltas de especialistas",falta especialista
-que las horas sean mas rapidas y que sean mas eficientes,hora rapido eficiente
-falta de empatia por los profesionales,falta empatia profesional
"-mas eficiencia en la atención""",eficiencia atención
"667	""-en la actualidad mala.",actualidad malo
-eliminar lista de espera.,lista espera
-hoy los costos son muy altos.,costo alto
"-mejorar la calidad.""",calidad
668	mejor y de calidad y en acceso para todos sin distincion a pesar de las caract. diferentes.,mejor calidad acceso distincion pesar caract diferente
669	la riqueza del país se convierta en beneficios sociales para todos y no quede concentrada en un muy pequeño porcentaje de la población.,riqueza país beneficio social concentrado pequeño porcentaje población
"670	""es necesario el aumento de sueldo por las familias.",necesario aumento sueldo familia
"las pensiones son muy bajas no podemos vivir de ello.""",pensión baja
671	en vallenar existe un hospital bien moderno pero faltan especialistas y por ello las derivan a copiapó y la atención se hace más lenta,hospital moderno especialista copiapó atención lento
"672	""- atención que sea prioritaria",atención prioritario
"- atención digna, esperar menor a raíz de aumento de especialista.",atención digno menor raíz aumento especialista
- falencia tema oncologico (centro oncologico),falencia tema oncologico centro oncologico
- movilización desde sectores rurales a hospitales,movilización sector rural hospital
"- precios v/s calidad, porque no se condice con atención""",precio vr calidad atención
"673	""-mejor atención y calidad del servicio en hospitales y servicios de atención primaria",mejor atención calidad servicio hospital servicio atención primario
"-alta cotización v/s poca cobertura""",alto cotización vr cobertura
"674	""remedios demasiado caros.",remedio caro
bajos sueldos de doctores públicos.,sueldo doctor público
"cobro exagerado de bonos.""",cobro exagerado bono
"675	""los tiempos de espera son extensos y las listas son muy largas.",tiempo espera extenso lista largo
el acceso a la salud con los especialidas es escasa.,acceso salud especialida escaso
